Name,ESI
2M0355,0.022623793
2MASS J0001+1535,0.017916016
2MASS J0030-1450,0.04703591
2MASS J0031+5749,0.028102673
2MASS J0153-6744,0.02948324
2MASS J0326-2102,0.034235588
2MASS J0342-6817,0.029780777
2MASS J0348-6022,0.024440049
2MASS J0407+1546,0.008639539
2MASS J0447-1216,0.013533786
2MASS J0459-2853,0.052175929
2MASS J0506+5236,0.031034801
2MASS J0642+4101,0.048809638
2MASS J0718-6415,0.084072057
2MASS J0809+4434,0.043818772
2MASS J0951-8023,0.035755446
2MASS J1219+3128,0.015350531
2MASS J1551+0941,0.024603096
2MASS J1647+5632,0.035928607
2MASS J1741-4642,0.024747304
2MASS J2002-0521,0.04212902
2MASS J2117-2940,0.046037198
2MASS J2154-1055,0.019749306
2MASS J2206+3301,0.057394602
2MASS J2206-4217,0.01875054
2MASS J2322-6151,0.027479299
2MASS J2343-3646,0.017264706
51 Eri b,0.087673507
AU Mic b,0.144054479
AU Mic c,0.324215253
BD+20 594 b,0.451381774
CoRoT-15 b,0.011172369
CoRoT-22 b,0.096315792
CoRoT-24 b,0.080073663
CoRoT-24 c,0.113367804
CoRoT-27 b,0.033008963
CoRoT-32 b,0.079217001
CoRoT-35 b,0.011227263
CoRoT-36 b,0.014775812
EPIC 205084841 b,0.016169544
EPIC 211945201 b,0.088978138
EPIC 212737443 b,0.337969303
EPIC 212737443 c,0.500170078
EPIC 219388192 b,0.018571549
EPIC 246193072 b,0.081609941
G 9-40 b,0.48746202
GJ 1132 b,0.513471958
GJ 1252 b,0.297077194
GJ 143 c,0.216434504
GJ 3090 b,0.259504888
GJ 3473 b,0.388114333
GJ 357 b,0.519567574
GJ 367  b,0.156436679
GJ 3929 b,0.527599995
GJ 486 b,0.381458552
GJ 570 D,0.025052382
GJ 9827 b,0.227014529
GJ 9827 c,0.403141858
GJ 9827 d,0.336725293
GPX-1 b,0.018635514
HAT-P-1 b,0.018431866
HAT-P-11 b,0.148598937
HAT-P-18 b,0.03717253
HAT-P-42 b,0.023038277
HAT-P-43 b,0.02067092
HAT-P-49 b,0.014656451
HAT-P-50 b,0.018742853
HAT-P-51 b,0.017212718
HAT-P-52 b,0.03983987
HAT-P-53 b,0.019627702
HAT-P-55 b,0.023976171
HAT-P-56 b,0.017241674
HAT-P-57 b,0.014440935
HAT-P-58 b,0.012310699
HAT-P-59 b,0.038817821
HAT-P-60 b,0.008901207
HAT-P-61 b,0.041278963
HAT-P-62 b,0.027079041
HAT-P-63 b,0.029086229
HAT-P-64 b,0.008230962
HAT-P-65 b,0.005744076
HAT-P-67 b,0.00393309
HAT-P-68 b,0.041215876
HAT-P-69 b,0.015165797
HAT-P-7 b,0.014436036
HAT-P-70 b,0.011339324
HATS-10 b,0.030922329
HATS-11 b,0.012233177
HATS-12 b,0.053330844
HATS-13 b,0.023623001
HATS-17 b,0.107465324
HATS-18 b,0.01771167
HATS-19 b,0.008725598
HATS-20 b,0.045729115
HATS-21 b,0.021571604
HATS-22 b,0.089707963
HATS-23 b,0.011052068
HATS-24 b,0.015692212
HATS-3 b,0.017401266
HATS-31 b,0.01019794
HATS-32 b,0.02329739
HATS-33 b,0.026587138
HATS-34 b,0.018046429
HATS-35 b,0.012700738
HATS-36 b,0.047466926
HATS-37A b,0.05160851
HATS-38 b,0.036642498
HATS-39 b,0.010923996
HATS-4 b,0.042042934
HATS-40 b,0.011727495
HATS-41 b,0.033825561
HATS-42 b,0.018178587
HATS-47 b,0.035625805
HATS-48A b,0.050514422
HATS-49 b,0.072649774
HATS-5 b,0.036116346
HATS-50 b,0.021556221
HATS-51 b,0.015699005
HATS-52 b,0.020070987
HATS-53 b,0.018987686
HATS-54 b,0.032097365
HATS-55 b,0.024619657
HATS-56 b,0.007785903
HATS-57 b,0.041982288
HATS-58A b,0.024986725
HATS-59 b,0.035388053
HATS-60 b,0.022188451
HATS-61 b,0.04633905
HATS-62 b,0.019548476
HATS-63 b,0.026055426
HATS-64 b,0.010297986
HATS-65 b,0.013446145
HATS-66 b,0.022757072
HATS-67 b,0.009473397
HATS-68 b,0.021608476
HATS-69 b,0.036826984
HATS-70 b,0.017407167
HATS-71A b,0.061570323
HATS-72 b,0.061136052
HATS-74A b,0.064948433
HATS-75 b,0.06854958
HATS-76 b,0.067748902
HATS-77 b,0.05620889
HATS-8 b,0.023516526
HATS-9 b,0.018220524
HD 106315 b,0.179103288
HD 106315 c,0.108036154
HD 110113 b,0.144188832
HD 118203 b,0.035425029
HD 136352 b,0.262488671
HD 136352 c,0.30901516
HD 136352 d,0.408401371
HD 137496 b,0.095004313
HD 1397 b,0.029601481
HD 183579 b,0.150721845
HD 191939 b,0.141914519
HD 191939 c,0.215609471
HD 191939 d,0.222654216
HD 202772 A b,0.009811186
HD 20329 b,0.097815179
HD 207897 b,0.326805746
HD 213885 b,0.085279376
HD 219666 b,0.079046664
HD 23472 b,0.406360439
HD 23472 c,0.451770499
HD 23472 d,0.292981686
HD 23472 e,0.384417163
HD 23472 f,0.413412576
HD 260655 b,0.40319379
HD 260655 c,0.480550239
HD 2685 b,0.012744895
HD 28109 b,0.203068789
HD 3167 b,0.140210738
HD 3167 c,0.301464105
HD 5278 b,0.198791689
HD 63935 b,0.170718961
HD 63935 c,0.240660336
HD 73583 b,0.236074185
HD 73583 c,0.335949482
HD 89345 b,0.055077824
HD 95338 b,0.34847431
HD 97658 b,0.261427786
HIP 116454 b,0.290701228
HIP 65426 b,0.03270664
HIP 65A b,0.015362646
HIP 67522 b,0.057016115
HIP 77900 b,0.015371247
HIP 94235 b,0.04837458
HIP 97166 b,0.263403652
K2-105 b,0.210828631
K2-106 b,0.090192229
K2-106 c,0.197524254
K2-107 b,0.014838971
K2-108 b,0.075776521
K2-110 b,0.354822733
K2-111 b,0.182928807
K2-113 b,0.046051848
K2-114 b,0.107004251
K2-124 b,0.353089774
K2-132 b,0.01490904
K2-137 b,0.009717363
K2-138 b,0.193116435
K2-138 c,0.145968156
K2-138 d,0.168885909
K2-138 e,0.16574548
K2-138 f,0.104825855
K2-138 g,0.212513469
K2-139 b,0.105325018
K2-140 b,0.047123138
K2-141 b,0.101720742
K2-155 b,0.347322932
K2-155 c,0.281048203
K2-155 d,0.572384604
K2-174 b,0.387557303
K2-18 b,0.61537078
K2-180 b,0.304074782
K2-182 b,0.201733154
K2-19 b,0.05266823
K2-19 c,0.092266802
K2-19 d,0.099510718
K2-199 b,0.248476589
K2-199 c,0.2508717
K2-216 b,0.192211835
K2-22 b,0.014581225
K2-222 b,0.227731051
K2-229 b,0.12442126
K2-229 c,0.210470586
K2-229 d,0.338447058
K2-232 b,0.037167256
K2-233 b,0.249276888
K2-233 d,0.3500116
K2-237 b,0.01158529
K2-238 b,0.018729056
K2-239 b,0.600773945
K2-239 c,0.721392278
K2-239 d,0.747775923
K2-24 b,0.100543408
K2-24 c,0.061566214
K2-240 b,0.374099227
K2-240 c,0.592508645
K2-25 b,0.427405445
K2-260 b,0.012654071
K2-261 b,0.038070916
K2-266 b,0.084531945
K2-266 c,0.402212128
K2-266 d,0.279586628
K2-266 e,0.379450253
K2-27 b,0.128391523
K2-280 b,0.065436914
K2-285 b,0.167144681
K2-285 c,0.184413789
K2-285 d,0.28450324
K2-285 e,0.406165398
K2-286 b,0.591359186
K2-287 b,0.060189047
K2-289 b,0.052065799
K2-29 b,0.029472414
K2-290 b,0.119048473
K2-290 c,0.073148033
K2-292 b,0.227091695
K2-295 b,0.052175903
K2-3 b,0.442044943
K2-3 c,0.509865856
K2-3 d,0.802899918
K2-30 b,0.037556197
K2-314 b,0.128600274
K2-314 c,0.125659693
K2-314 d,0.130590344
K2-32 b,0.090016485
K2-32 c,0.257641256
K2-32 d,0.207361042
K2-32 e,0.22511481
K2-34 b,0.027059012
K2-36 b,0.198469901
K2-36 c,0.167368296
K2-38 b,0.119517991
K2-38 c,0.236794499
K2-52 b,0.006798839
K2-53 b,0.273861337
K2-55 b,0.176023745
K2-60 b,0.053120209
K2-66 b,0.127779769
K2-79 b,0.093868516
K2-87 b,0.050415071
K2-90 b,0.352753913
K2-95 b,0.12982003
K2-97 b,0.03857165
K2-98 b,0.083112764
K2-99 b,0.039410743
KELT-1 b,0.012467819
KELT-10 b,0.017434809
KELT-11 b,0.00913964
KELT-17 b,0.011720137
KELT-18 b,0.010426877
KELT-19 A b,0.012947262
KELT-22A b,0.028489053
KELT-23A b,0.01911188
KELT-4 A b,0.009423448
KELT-7 b,0.016020887
KELT-8 b,0.008756794
KELT-9 b,0.005008309
KOI-1257 b,0.130061976
KOI-13 b,0.017360645
KOI-1599.01,0.303545752
KOI-1599.02,0.331702296
KOI-1783 b,0.120817895
KOI-1783 c,0.192982436
KOI-3680 b,0.178713466
KOI-4777,0.150536768
KOI-984 b,0.098903758
KPS-1 b,0.034459044
Kepler-10 b,0.098652396
Kepler-10 c,0.335100161
Kepler-101 b,0.057210024
Kepler-101 c,0.165827756
Kepler-102 b,0.051383584
Kepler-102 c,0.108046461
Kepler-102 e,0.379247063
Kepler-102 f,0.264175281
Kepler-105 b,0.033758845
Kepler-107 b,0.158531164
Kepler-107 c,0.129211413
Kepler-107 d,0.1171331
Kepler-107 e,0.158237852
Kepler-114 b,0.238814054
Kepler-114 c,0.403850256
Kepler-114 d,0.258175255
